word,phoneme,short_def,vi,hint_level
compositeness,"/kəmˈpɑːzəts/, /kɑːmˈpɑːzəts/",state of being a kind of number,sự tổng hợp,1
compositor,/ˌkɑːmpəˈzɪʃənz/,one who sets type for printing,nhà tổng hợp,1
compounding,/kəmˈpaʊndɪŋ/,act of making by combining,kết hợp,1
compressibility,"/ˈkɑːmprɛsəz/, /kəmˈprɛsəz/, /kəmˈprɛsɪz/",quality to occupy less space,khả năng nén,1
compsognathus,/ˈkɑːmprəˌmaɪzɪŋ/,an animal from past times,một con vật từ thời xưa,1
comptrollership,"/kəmˈtroʊlɝz/, /ˈkɑːmˌtroʊlɝz/",position of a financial manager,kiểm soát viên,1
compulsivity,/kəmˈpʌlsɪvli/,state of doing without thought,cưỡng chế,1
comradeliness,/ˈkɑːmˌræd/,quality of being friendly,tình đồng đội,1
comradery,/ˈkɑːmˌræd/,quality of being friendly,tình đồng chí,1
conacaste,/ˈkoʊnəbəlz/,a kind of tree,trùng nhau,1
concaveness,"/kɑːnˈkeɪv/, /ˈkɑːnkeɪv/",quality of curving in,độ lõm,1
concealing,/kənˈsiːlɪŋ/,act of keeping a thing secret,che giấu,3
conceding,/kənˈsiːdɪŋ/,the act of yielding,nhượng bộ,2
conceivability,/kənˈsiːtəd/,state of being possible,khả năng tưởng tượng,1
conceivableness,/kənˈsiːvəbəl/,state of being able to imagine,khả năng tưởng tượng,1
concentricity,/kənˈsɛntrɪk/,state of having the same middle,sự đồng tâm,1
conceptualism,/kənˈsɛptʃuːəl/,a theory of mental concepts,chủ nghĩa khái niệm,1
conceptuality,/kənˈsɛptʃuːəl/,a detailed concept,khái niệm,1
conceptus,/kənˈsɛptʃuːəli/,animal in its early stages,khái niệm,1
concert pitch,"/ˈkɑːnsɝt/, /kənˈsɝːt/",the tone used in concerts,sân hòa nhạc,1
concertinist,/kɑːnsɝˈtiːnə/,one who plays an instrument,nghệ sĩ hòa nhạc,1
concessioner,/kənˈsɛʃəˌnɛri/,one who sells on another's land,nhượng bộ,1
concha,/ˈkɑːntʃə/,a structure like a shell,một cấu trúc giống như một vỏ,1
conchfish,/ˌkɑːnˈtʃɛmkoʊ/,a kind of fish,ốc xà cừ,1
conchologist,/ˈkɑːntʃɔɪd/,one who studies shells,nhà nghiên cứu ốc tai,1
conchology,/ˈkɑːntʃɔɪd/,the study of shelled animals,nghiên cứu về động vật có vỏ,1
concision,/kənˈsaɪsli/,brief and correct communication,súc tích,1
concordat,"/ˈkɑːnˌkɔrdz/, /ˈkɑːnkɝdz/",a signed written agreement,hòa giải,1
concretion,/ˈkɑːnˌkriːtli/,the formation of hard masses,bê tông hóa,1
concretism,/ˈkɑːnˌkriːtli/,representation of a kind of idea,chủ nghĩa cụ thể,1
concubinage,/kɑːnˈkjuːbənədʒ/,unmarried but living together,vợ lẽ,1
concupiscence,/ˈkɑːnkjəˌbaɪnz/,a sexual desire,dục vọng,1
concurrency,/kənˈkɝːəns/,agreement,đồng thời,1
condensate,/ˈkɑːndənˌseɪt/,water formed because of cold,ngưng tụ,1
condensing,/kənˈdɛnsɪŋ/,act of increasing in density,ngưng tụ,1
condescendingness,/ˌkɑːndɪˈsɛndɪŋ/,friendliness to the lower ranks,sự trịch thượng,1
conditionality,/kənˌdɪʃəˈnælɪti/,state of happening on condition,điều kiện,1
condonation,/ˈkɑːndən/,a legal term,chia buồn,1
condyle,"/ˈkɑːnduːəts/, /ˈkɑːndwəts/",a round bump on a bone,khớp nối xương,1
condylion,"/ˈkɑːnduːəts/, /ˈkɑːndwəts/",a medical term,một thuật ngữ y tế,1
coneflower,/ˈkoʊnˌflaʊɝ/,a type of plant,hoa lược,1
conenose,/ˈkoʊnli/,a kind of insect,hình nón,1
conessi,/ˈkoʊnz/,a kind of tree,một loại cây,1
coney,/ˈkoʊni/,a kind of small animal,con hẻm,2
confab,/ˈkoʊni/,discussion that is not formal,bịp bợm,1
confabulation,/kənˌfæbjəˈleɪʃən/,an imagined memory,sự bịa đặt,1
confect,/kənˈfɛkt/,to make into a mixture,bánh kẹo,1
confectionary,/kənˈfɛkʃəˌnɛri/,a shop that sells sweet foods,bánh kẹo,1
conferral,/ˈkɑːnfrənsɪŋ/,act of giving an honor or gift,trao tặng,1
conferrer,/kənˈfɝːd/,one who makes a gift of property,người trao tặng,1
conferva,/kənˈfɝːz/,a kind of plant,trao đổi,1
configurationism,/kənˌfɪgjɝˈeɪʃən/,a theory of psychology,chủ nghĩa cấu hình,1
confit,/kənˈfɪskəˌtɔri/,a piece of cooked meat,phù hợp,2
confiture,/ˌkɑːnfɪˈtɪriːəz/,preserved fruit,cấu hình,1
confluent,/kɑːnˈfluːənt/,a type of river or stream,hợp lưu,1
conflux,/kɑːnˈfluːənt/,a state of flowing together,dòng chảy,1
conformance,/kənˈfɔrməns/,a similar form,phù hợp,1
conformism,/kənˈfɔrmɪŋ/,social in thoughts and belief,chủ nghĩa tuân thủ,1
confrere,/ˈkɑːnfrɛr/,one who is a member of a class,anh em,1
confusedness,/kənˈfjuːzd/,state of lacking clear thought,bối rối,1
confutation,/kənˈfjuːʒənz/,proof that a thing is false,sự lẫn lộn,1
confuter,/kənˈfjuːʒənz/,one who argues using evidence,người nói dối,1
conge,/ˈkɑːŋdən/,a curved structure,tắc nghẽn,1
congealment,/kənˈdʒiːld/,the process of making solid,đông lại,1
congee,/kənˈdʒiːld/,an architecture term,cháo,1
congelation,/kənˈdʒiːld/,the process of becoming solid,kết tụ,1
congenator,/kənˈdʒiːld/,a related animal or plant,tụ điện,1
congener,/kənˈdʒiːld/,a whole thing of the same type,đồng loại,1
congeneric,/kənˈdʒiːld/,belonging to the same group,bẩm sinh,1
congenialness,/kənˌdʒiːniːˈæləti/,state of getting along with another,tính dễ gần,1
conger,/ˈkɔŋɝ/,a type of long fish,cá chình biển,1
conger eel,/ˈkɔŋɝ/,a type of sea creature,lươn đồng,1
congeries,/ˈkɔŋɝ/,total of many different things,hội thánh,1
congius,/kənˈdʒɛstɪv/,a kind of British measure,một loại biện pháp của anh,1
conglobation,/ˈkɑːŋgəltɑːn/,a rounded form,tập đoàn,1
conglutination,/kənˌglɑːmɝˈeɪʃən/,a process of healing,kết nghĩa,1
congo,/ˈkɑːŋgoʊ/,a kind of black tea,một loại trà đen,1
congou,/ˌkɑːngəˈliːz/,a type of tea,một loại trà,1
congratulations,/kənˌgrætʃəˈleɪʃənz/,an expression of approval,chúc mừng,3
congregating,/ˈkɑːŋgrɪˌgeɪtɪd/,the act of gathering,tụ tập,1
congruity,/kənˈgruːəti/,the quality of agreeing,sự phù hợp,1
congruousness,/kənˈgruːəti/,the quality of agreeing,sự phù hợp,1
conic,"/ˈkɑːnɪk/, /ˈkoʊnɪk/",a math term,hình nón,1
conidiophore,"/ˈkɑːnɪks/, /ˈkoʊnɪks/",a plant term,bào tử hạt,1
conidiospore,"/ˈkɑːnɪks/, /ˈkoʊnɪks/",a plant term,bào tử bào tử,1
conidium,"/ˈkɑːnɪks/, /ˈkoʊnɪks/",a plant term,bào tử,1
conima,/kəˈnɪgliːoʊ/,a substance from a plant,một chất từ thực vật,1
conjunctiva,/ˌkɑːndʒəŋkˈtaɪvə/,a layer covering the eye ball,kết mạc,1
conjunctive,/ˌkɑːndʒəŋkˈtaɪvə/,a grammar term,liên từ,1
conjuncture,/ˌkɑːndʒəŋkˈtaɪvə/,a combination of events,sự liên kết,1
conjuration,/ˌkɑːndʒəŋkˈtaɪvə/,the act of calling up a spirit,phép thuật,1
conjuring,/ˈkɑːndʒɝɪŋ/,calling up a spirit,triệu hồi,2
conjury,/ˈkɑːndʒɝɝ/,state of calling up a spirit,phù thủy,1
conker,/ˈkɑːŋkəl/,a seed one cannot eat,con lừa,1
connecter,/kəˈnɛktɝ/,connection,đầu nối,1
connectivity,/kənɛkˈtɪvɪti/,property of being joined,kết nối,1
conodont,/ˈkɑːnəkoʊz/,a kind of fish,một loại cá,1
conoid,/ˈkɑːnəkoʊz/,a shape whose base is a circle,hình nón,1
conquering,/ˈkɑːŋkɝɪŋ/,act of taking control by force,chinh phục,2
consanguinity,/kɑːnˈsɑːlvoʊ/,related by blood,quan hệ họ hàng,1
conservativism,/kənˈsɝːvətɪˌvɪzəm/,a way of thinking about society,chủ nghĩa bảo thủ,1
conservativist,/kənˈsɝːvətɪˌvɪzəm/,one who does not want change,người bảo thủ,1
conservator,/kənˈsɝːvətɝ/,one who protects something,người bảo quản,1
conserves,/kənˈsɝːvd/,a kind of prepared food,bảo tồn,1
considerateness,/kənˈsɪdɝət/,a kind regard for others,ân cần,1
consignee,/kənˈsaɪnd/,one who receives an item,người nhận hàng,1
consigner,/kənˈsaɪnd/,one who delivers items,người gửi hàng,1
consignor,/kənˈsaɪnmənt/,one who delivers things,gửi hàng,1
consistence,/kənˈsɪstəns/,an agreement among parts,nhất quán,1
consistory,/kənˈsɪstɪŋ/,a church council,công nghị,1
conspecific,"/kənˈsɔrʃəmz/, /kənˈsɔrʃjəmz/",a member of the same species,âm mưu,1
constantan,/kɑːnˈstɑːntə/,a natural substance,hằng số,1
constatation,/ˈkɑːnˌstɑːr/,a basic assumption,trạng thái,1
constrictor,/kənˈstrɪktɝ/,a type of animal,thắt lại,2
construal,/kənˈstrɪktɝz/,an explanation of the meaning,có thể hiểu được,1
constructiveness,/kənˈstrʌktɪvli/,quality of serving to build,tính xây dựng,1
constructivism,/kənˈstrʌktɪvli/,an art movement,chủ nghĩa kiến tạo,1
constructivist,/kənˈstrʌktɪvli/,a type of artist,kiến tạo,1
consubstantiation,/kənˈstruːd/,a belief of the church,chứng minh,1
consuetude,/kənˈsweɪlə/,a custom that is legal,khu phố,1
consuetudinal,/kənˈsweɪlə/,a document describing customs,theo đường nối,1
consuetudinary,/kənˈsweɪlə/,a document describing customs,lãnh hải,1
consulship,/ˈkɑːnsəlˌʃɪp/,post of a govt official,lãnh sự,1
containerful,/kənˈteɪnɝˌbɔrd/,the quantity held by a vessel,chứa đầy,1
containership,/kənˈteɪnɝz/,a huge ship that holds items,tàu chở hàng,1
contemplativeness,/kənˈtɛmplətɪv/,deep serious thought,sự chiêm nghiệm,1
contemporaneity,/ˌkɑːnˈtɛmpoʊ/,state of belonging to the time,đương thời,1
contemporaneousness,/kənˌtɛmpɝˈeɪniːəsli/,state of belonging to the same time,tính đương thời,1
contemporaries,/kənˈtɛmpɝˌɛriːz/,people existing at the same time,người đương thời,3
contemptibility,/kənˈtɛmpt/,state of lacking higher values,sự khinh thường,1
contemptuousness,/kənˈtɛmpˌtʃuːəsli/,a clear sign of dislike,sự khinh thường,1
contentedness,/kənˈtɛntədli/,state of satisfaction,sự hài lòng,1
contestation,/kənˈtɛstənts/,a dispute,cuộc thi,1
contestee,/kənˈtɛstəd/,winner whose win is questioned,thí sinh,1
contester,/kənˈtɛstəd/,one who challenges an outcome,thí sinh,1
contextualism,/ˌkɑːnˈtɛksˌtʃuːəl/,a theory emphasizing context,chủ nghĩa ngữ cảnh,1
contiguousness,/kənˈtɪgjuːəs/,state of being near and touching,sự tiếp giáp,1
continency,/kənˈtɪgjuːəs/,act of keeping away from sex,sự liên tục,1
contingence,/ˈkɑːntənənts/,a possible event or result,dự phòng,1
continuant,/kənˈtɪnjuːənsɪz/,relating to a speech sound,tiếp tục,1
continuative,/kənˌtɪnjuːˈeɪʃən/,a linguistics term,liên tục,1
continuo,/ˌkɑːntəˈnuːəti/,a musical composition,tiếp tục,1
continuousness,/kənˈtɪnjuːəsli/,quality of being continuous,sự liên tục,1
contrabandist,/ˈkɑːntrəˌbænd/,one who avoids shipping taxes,người buôn lậu,1
contrabassoon,/ˈkɑːntrəbæˈsuːn/,a musical instrument,một dụng cụ âm nhạc,1
contractility,/ˈkɑːntræktəd/,state of contracting by muscle,co bóp,1
contracture,/kənˈtræktʃuːəli/,an unusual contracting,co rút,1
contradance,/kənˈtræktʃuːəli/,a kind of dance,mâu thuẫn,1
contradictoriness,/ˌkɑːntrəˈdɪktɝəli/,state when two cannot exist,mâu thuẫn,1
contradistinction,/ˌkɑːntrəˈdɪkts/,difference made by contrasting,mâu thuẫn,1
contrafagotto,/ˌkɑːntrəˈdɪkts/,a musical instrument,chống đối,1
contrapuntist,/kənˈtræpʃənz/,one who writes a kind of music,người đi ngược lại,1
contrariety,/kənˈtrɛriːənz/,the relation between opposites,trái ngược,1
contredanse,/ˌkɑːntrəˈvɛntʃən/,a kind of dance,chống đối,1
contriteness,/kənˈtraɪt/,regret from fear for a mistake,sự hối lỗi,1
control room,/kənˈtroʊl/,room with control equipment,phòng điều khiển,1
controllership,/kənˈtrɑːlɝz/,position of one who directs,kiểm soát,1
controversialist,/ˌkɑːntrəˈvɝːʃəl/,a person who debates,người tranh cãi,1
contumacy,/ˈkɑːntrəˌvɝːsi/,act of not appearing in court,sự phù hợp,1
contumely,/ˈkɑːntrəˌvɝːsi/,an insulting expression,một cách trang trọng,1
convector,/kənˈvɛktɪv/,a heating device,đối lưu,1
convener,/kənˈviːnd/,one gathering people for meetings,triệu tập,1
conveniences,/kənˈviːnjənsɪz/,things that give comfort,tiện ích,1
convening,/kənˈviːnɪŋ/,the act of bringing together,triệu tập,1
conventicle,"/ˈkɑːnvənt/, /ˈkɑːnˌvɛnt/",a religious building,công ước,1
conventionalisation,/kənˈvɛnʃənəl/,act of following a usual style,quy ước hóa,1
conventionalism,/kənˈvɛnʃənəl/,belief accepted due to being normal,chủ nghĩa quy ước,1
conventionalization,/kənˈvɛnʃənəl/,act of following a usual style,quy ước hóa,1
convergency,/kənˈvɝːdʒəns/,tendency to approach each other,hội tụ,1
converging,/kənˈvɝːdʒɪŋ/,the act of coming closer,hội tụ,2
conversance,/kənˈvɝːdʒɪŋ/,personal knowledge or information,đối thoại,1
conversancy,/kənˈvɝːdʒɪŋ/,personal knowledge about someone,chuyện phiếm,1
conversationist,/ˌkɑːnvɝˈseɪʃənələst/,one skilled at talking,người nói chuyện,1
convexness,"/kənˈvɛks/, /ˈkɑːnˌvɛks/",state of a shape that curves out,sự lồi lõm,1
conveyancer,/kənˈveɪəns/,a lawyer,băng tải,1
conveying,/kənˈveɪɪŋ/,act of transferring ownership,chuyển tải,3
convictfish,/kənˈvɪktəd/,a kind of fish,cá bị kết án,1
convincingness,/kənˈvɪnsɪŋli/,the power of convincing,thuyết phục,1
convolvulus,/ˈkɑːnvəˌluːʃən/,a kind of plant group,bìm bìm,1
cony,/ˈkɑːnˌwɛl/,a type of animal,một loại động vật,1
cookhouse,/ˈkʊkɝz/,a separate shelter for cooking,nhà bếp,1
cooky,/ˈkʊˌkwɛr/,the cook at a camp,nấu ăn ngon,1
coolwart,/ˈkuːlz/,a kind of plant,mụn cóc lạnh lùng,1
cooly,/ˈkuːlz/,mean term for an Asian worker,đã bình tĩnh,1
coondog,/ˈkuːns/,a dog trained to hunt,con chó ngoan,1
coonhound,/ˈkuːni/,a breed of hunting dogs,chó săn,1
coontie,/ˈkuːnz/,a kind of plant,con cu,1
cooperator,/koʊˈɑːprətɪvz/,one associated with another,cộng tác viên,1
cooter,/ˈkuːtɝ/,large animal in Mexico,người chăn bò,1
copaiba,/ˌkoʊpəkəˈbænə/,liquid used in paints and creams,chất lỏng được sử dụng trong sơn và kem,1
copal,/ˌkoʊpəkəˈbænə/,substance extracted from trees,chất chiết xuất từ cây,1
copaline,/ˌkoʊpəkəˈbænə/,a natural substance,một chất tự nhiên,1
copalite,/ˌkoʊpəkəˈbænə/,a natural substance,một chất tự nhiên,1
copartner,/ˈkoʊˌpɑːrtnɝ/,a partner,cộng sự,1
copartnership,/ˈkoʊˌpɑːrtnɝz/,a type of partnership,quan hệ đối tác,1
copeck,/ˈkoʊp/,a unit of money,đồng tiền,1
copepod,/kəˈpɛnhəvɝ/,a tiny sea creature,giáp xác,1
copestone,/ˈkoʊps/,the top stone of a wall,đá cuội,1
copiousness,/ˈkoʊpjəsli/,a large amount,sự phong phú,1
copolymer,/koʊˈpoʊləz/,a chemistry term,đồng trùng hợp,1
copout,/koʊˈpoʊləz/,failure to face a difficulty,cảnh sát ra,1
copperplate,/kəˈpɝːnoʊl/,a cut metal plate,đĩa đồng,1
coppersmith,/ˈkɑːpɝˌsmɪθ/,one who makes metal articles,thợ đúc đồng,1
copperware,/ˈkɑːpɝˌsmɪθ/,vessels made of copper,đồ đồng,1
copra,/ˈkoʊprə/,dried meat of the coconut,cùi dừa,1
coprolalia,/ˈkoʊˈprɑːsɛsɝz/,an extreme use of rude language,cộng sản,1
coprolite,/ˈkoʊˈprɑːsɛsɝz/,preserved solid waste,coprolit,1
coprolith,/ˈkoʊˈprɑːsɛsɝz/,a hard mass of solid waste,đá vụn,1
coprophagia,/ˈkoʊˈprɑːsɛsɝz/,act of eating solid waste,thực bào,1
coprophagy,/ˈkoʊˈprɑːsɛsɝz/,act of eating solid waste,sự ăn thịt đồng loại,1
copulative,/ˈkɑːpjəˌleɪt/,a grammar term,giao cấu,1
copybook,/ˈkɑːpi/,a book of good hand writing,sổ chép,1
copyhold,/ˈkɑːpiːˌkoʊdz/,an old form of land owning,giữ bản quyền,1
copyholder,/ˈkɑːpiːˌkoʊdz/,a printing machine,người giữ bản sao,1
copyreader,/ˈkɑːpiːˌriːdɝ/,an editor who prepares text,người sao chép,1
coquille,/ˈkɑːpiːˌraɪtɝz/,a type of serving dish,một loại món ăn phục vụ,1
coracan,"/ˈkɔrəbəl/, /ˈkɔrəˌbɛl/",a kind of grass,một loại cỏ,1
corakan,/ˈkɔrəkəl/,a kind of grass,một loại cỏ,1
coralbells,/ˈkɔrəl/,a kind of plant,chuông san hô,1
coralberry,/ˈkɔrəl/,a kind of plant,san hô,1
coralroot,/ˌkɔˈræloʊ/,a kind of plant,rễ san hô,1
coralwood,/ˈkɔrəlz/,a kind of tree,gỗ san hô,1
coralwort,/ˈkɔrəlz/,a kind of plant,san hô,1
corbel,/ˈkɔrbəl/,provide with structural pieces,vành đai,1
corbiestep,/ˈkɔrbɪt/,an architecture term,bước nhảy vọt,1
corbina,/ˈkɔrbɪn/,a kind of fish,một loại cá,1
corchorus,/ˈkɔrˌkæp/,a kind of plant,dàn hợp xướng,1
cordgrass,/ˈkɔrdəsmən/,a kind of grass,cỏ nhung,1
cordierite,/ˈkɔrdiːɝ/,a natural substance,cordierit,1
cordite,/ˈkɔrdɪs/,a substance for weapons,chất nổ,1
corditis,/ˈkɔrdɪs/,a medical condition,viêm dây rốn,1
cordoba,/ˌkɔrˈdoʊbə/,a unit of money,dây thừng,1
cordovan,/ˌkɔrˈdoʊvə/,a fine leather,người da đỏ,1
cords,/ˈkɔrdz/,a type of trousers,dây,2
corduroys,/ˈkɔrdɝˌɔɪ/,a type of trousers,vải to sợi,1
coreference,/kɔˈriːə/,a language term,đồng quy chiếu,1
coreid,/kɔˈriːə/,a kind of insect,cốt lõi,1
coreligionist,/ˌkɔˈrɛl/,one having the same beliefs,người theo chủ nghĩa tôn giáo,1
coreopsis,/ˈkɔrən/,a kind of plant,cốt lõi,1
corespondent,/ˌkɔrəˈspɑːndənt/,one charged in a divorce case,phóng viên,1
corgi,/ˈkɔrgi/,a kind of dog,chó corgi,1
corium,/ˌkɔˈrɪsə/,inner layer of the skin,lớp bên trong của da,1
cork oak,/ˈkɔrk/,a type of tree,nút chai sồi,1
cork tree,/ˈkɔrk/,a type of tree,cây nứa,1
corkage,/ˈkɔrk/,a fee charged to bring in wine,nút bần,1
corkwood,/ˈkɔrˌkwʊd/,a kind of tree,cây bần,1
corm,/ˈkɔrm/,a swollen stem base,sâu bọ,1
corn beef,/ˈkɔrn/,food item made of beef,bắp bò,1
corn cob,/ˈkɔrn/,the center part of corn,lõi bắp,1
corn field,/ˈkɔrn/,a field,cánh đồng ngô,1
cornbread,/ˈkɔrnˌbrɛd/,a type of bread,bánh ngô,1
corncrake,/ˈkɔrnˌkɑːb/,a type of bird,bánh ngô,1
corncrib,/ˈkɔrnˌkrɪb/,a box for storing corn,giàn giáo,1
cornel,/ˈkɔrnəl/,a type of a tree,cây ngô đồng,1
cornelian,/kɔrˈniːljə/,a pale red variety of stone,cây ngô đồng,1
cornerback,/ˈkɔrnɝˌbæk/,a type of football player,góc lùi,1
cornetfish,/kɔrˈnɛt/,a kind of fish,cá mòi,1
cornetist,/kɔrˈnɛt/,a kind of musician,nghệ sĩ giác mạc,1
corneum,/kɔrˈnɛtəst/,first layer with dead cells,lớp sừng,1
cornflour,/ˈkɔrnˈfiːldz/,very small pieces of corn,bột ngô,1
cornhusk,/ˈkɔrnˌhəsk/,the covering of a corn ear,trấu,1
cornhusker,/ˈkɔrnˌhəsk/,one who removes the outer covering of corn,thợ săn,1
cornhusking,/ˈkɔrnˌhəskɪŋ/,a social gathering,bóc vỏ ngô,1
cornsilk,/ˈkɔrnz/,a part of corn,râu ngô,1
cornsmut,/ˈkɔrnz/,a fungus on a vegetable,bắp cải,1
cornu,/ˈkɔrnˌstɑːrtʃ/,structure that is like a horn,ngô đồng,1
corolla,/kɝˈɑːlə/,colored parts of a flower,tràng hoa,1
coronach,/kɝˈoʊnəz/,song sung on a death ceremony,vương miện,1
coronal,/kɝˈoʊnəl/,flowers tied in a circle band,vòng hoa,1
coronilla,/ˈkɔrəˈnɛts/,a kind of plant,tràng hoa,1
coronion,/ˈkɔrəˈnɛts/,a medical term,đăng quang,1
corozo,/ˈkɔrəˈnɛts/,a kind of tree,một loại cây,1
corporality,"/ˈkɔrpɝəl/, /ˈkɔrprəl/",quality of being physical,thể xác,1
corporatism,/ˈkɔrpɝəˌtɪzəm/,control by large group,chủ nghĩa nghiệp đoàn,1
corporeality,/ˈkɔrpɝətɪst/,a state of having matter,thể xác,1
corposant,/ˈkɔrpɝətɪst/,an electricity term,công ty,1
corpulency,/ˈkɔrpjələnt/,fatter than average,béo phì,1
corrasion,/ˈkɔraʊ/,a science term,ăn mòn,1
corrections,/kɝˈɛkʃənz/,social control of prisoners,đính chính,2
correctitude,/kɝˈɛkʃənz/,correct behavior,sự sửa sai,1
correlativity,/ˌkɔrəˈleɪʃənz/,a relation that goes two ways,tính tương quan,1
corrida,/ˈkɔrɪk/,an animal fighting sport,hành lang,1
corrie,/ˈkɔri/,a sharp sloped hole in a mountain,corie,1
corrigenda,/ˈkɔrɪgənz/,a list of printing errors,chỉnh sửa,1
corrigendum,/ˈkɔrɪgənz/,a printer's error,bản sửa lỗi,1
corroding,/kɝˈoʊdz/,destruction by chemical action,ăn mòn,1
corrugation,"/ˈkɔrəˌgeɪtəd/, /ˈkɔrəˌgeɪtɪd/",raised area on a rough surface,nếp gấp,1
corselet,/ˈkɔrs/,a protective body piece,áo nịt ngực,1
corslet,/kɝˈsiːni/,a body covering to protect,áo nịt ngực,1
corticoid,/ˈkɔrtəkəl/,a medical term,một thuật ngữ y tế,1
corticosteroid,/ˌkɔrtɪkoʊˈstɛˌrɔɪd/,a substance made by the body,một chất được tạo ra bởi cơ thể,1
corticosterone,/ˌkɔrtɪkoʊˈstɛˌrɔɪdz/,a medical term,corticosteron,1
corticotrophin,/ˌkɔrtɪkoʊˈstɛˌrɔɪdz/,a medical term,một thuật ngữ y tế,1
corticotropin,/ˌkɔrtɪkoʊˈstɛˌrɔɪdz/,a type of hormone,một loại hormone,1
cortisol,/ˈkɔrtɪˌsɔl/,compound increasing blood sugar,hợp chất tăng đường huyết,1
corundom,/ˈkɔrəm/,a natural substance,một chất tự nhiên,1
corundum,/kɝˈʌndəm/,a natural substance,một chất tự nhiên,1
corvee,/ˌkɔrˈvælɪs/,labor given instead of taxes,đám tang,1
corvette,/kɔrˈvɛt/,a ship built for war,tàu hộ tống,1
corydalis,/ˈkɔˌriː/,a type of plant,cây hải đường,1
corymb,/ˈkɔˌriː/,a plant term,thuật ngữ thực vật,1
corynebacterium,/ˈkɔˌriː/,a type of bacteria,vi khuẩn coryne,1
coryphantha,/ˈkɔˌriː/,a kind of plant,một loại cây,1
corythosaur,/ˈkɔˌriː/,an animal from past times,một con vật từ thời xưa,1
corythosaurus,/ˈkɔˌriː/,an animal from past times,một con vật từ thời xưa,1
coryza,/ˈkɔˌriː/,infection in the nose,sổ mũi,1
coscoroba,/ˈkoʊstʃɑː/,a kind of bird,một loại chim,1
cosec,/ˈkoʊz/,ratio of the sides of a triangle,tỉ lệ các cạnh của tam giác,1
cosecant,/ˈkoʊz/,a math value,một giá trị toán học,1
cosmea,/ˈkoʊzm/,a kind of plant,mỹ phẩm,1
cosmetician,/ˌkɔzˈmɛtɪkli/,one who works in a beauty center,mỹ phẩm,1
cosmid,/ˈkɑːzmɪk/,a science term,vũ trụ,1
cosmogeny,/ˈkɔzməˌdroʊm/,a science term,sinh học vũ trụ,1
cosmogony,/ˈkɔzməˌdroʊm/,a branch of science,nguồn gốc vũ trụ,1
cosmographer,/ˈkɔzməˌdroʊm/,one who studies the universe,nhà vũ trụ học,1
cosmographist,/ˈkɔzməˌdroʊm/,a scientist of the universe,nhà vũ trụ học,1
cosmography,/ˈkɔzməˌdroʊm/,a representation of the Earth,vũ trụ học,1
cosmolatry,/ˈkɔzməˌdroʊm/,praise of the universe,vũ trụ học,1
cosmopolite,/ˌkɑːzməˈpɑːlətən/,one who has traveled a lot,quốc tế,1
cosmotron,/ˈkɑːzmoʊs/,a science term,phi hành gia,1
coss,/ˈkɔs/,a unit of length in India,một đơn vị chiều dài ở ấn độ,1
costa,/ˈkɔstɑː/,a part of an animal or plant,bờ biển,2
costalgia,/ˈkɑːstəlz/,pain in the chest,đau xương sườn,1
costia,/ˈkɔstɝ/,a water animal,một con vật nước,1
costiasis,/ˈkɔstɝ/,a disease that kills fish,bệnh vảy nến,1
costmary,"/ˈkɑːstli/, /ˈkɔstli/",a kind of plant,trang phục,1
costochondritis,/ˈkɑːstnɝz/,a medical condition,viêm sụn sườn,1
costusroot,"/kɑːˈstuːmz/, /ˈkɑːstuːmz/",a kind of plant,gốc rễ,1
cotan,/ˈkoʊtə/,a math term,thuật ngữ toán học,1
cotangent,/ˈkoʊtə/,a geometry term,cotang,1
cote,/ˈkoʊt/,a small shelter for animals,một nơi trú ẩn nhỏ cho động vật,1
cotenant,/ˌkoʊˈtɛl/,one of two people who rent,đồng sở hữu,1
cothromboplastin,/ˈkɑːθɝən/,a medical term,một thuật ngữ y tế,1
cotilion,/koʊˈtiːdʒə/,a dance to present young ladies,lá mầm,1
cotinga,/kəˈtɪlə/,a kind of bird,một loại chim,1
cotoneaster,/ˈkoʊtoʊ/,a type of plant,một loại cây,1
cottar,/ˈkɑːtəm/,a piece to hold two pieces,nhà tranh,1
cotter,/ˈkɑːtɝ/,object that holds things together,người gác cổng,1
cottier,/ˈkɑːtiːɝ/,a subject of a landowner,người chăn ngựa,1
cottonseed,/ˈkɑːtənˌsiːd/,a kind of seed,hạt bông,1
cottonweed,/ˈkɑːtənˌsiːd/,a kind of plant,bông vải,1
cottonwick,/ˈkɑːtənˌsiːd/,a kind of fish,bông bấc,1
cotyledon,/ˈkoʊti/,kind of leaves,lá mầm,1
coucal,/ˈkuː/,a kind of bird,coca,1
couchette,/ˌkuːˈʃɛt/,a section on a train,đi văng,1
coulisse,/ˈkuːli/,a piece of wood,một mảnh gỗ,1
coulomb,/ˈkaʊl/,an electricity term,culông,1
coulter,/ˈkoʊltɝ/,sharp steel part of a machine,cái lò mổ,1
coumarone,/kuːlˈθɑːrd/,a natural substance,một chất tự nhiên,1
council chamber,/ˈkaʊnsəl/,a room where a committee meets,buồng hội đồng,1
councillorship,/ˈkaʊnsəlz/,position of a group member,ủy viên hội đồng,1
councilorship,/ˈkaʊnsɪlɝz/,position of a group member,ủy viên hội đồng,1
counsellorship,/ˈkaʊnsəlɝz/,position of a group member,cố vấn,1
counselorship,/ˈkaʊnsəlɝz/,position of a group member,cố vấn,1
